Time,Data
14:42:12,AXT= -0.75 AYT= 2.67 AZT= 2.77 GX= -6.96 GY= 0.25 GZ= 0.65 AXL= 0.08 AYL= -0.47 AZL= -8.74 GXYZ= 7.00
14:42:12,AXYZ= 0.48
14:42:12,the car stop moving
14:42:12,AXT= -0.82 AYT= 2.93 AZT= 3.04 GX= -7.14 GY= 0.20 GZ= 0.67 AXL= 0.09 AYL= -0.52 AZL= -8.73 GXYZ= 7.17
14:42:12,AXYZ= 0.52
14:42:12,the car stop moving
14:42:12,AXT= -0.90 AYT= 2.79 AZT= 2.93 GX= -6.96 GY= 0.38 GZ= 0.68 AXL= 0.10 AYL= -0.49 AZL= -8.74 GXYZ= 7.01
14:42:12,AXYZ= 0.50
14:42:12,the car stop moving
14:42:12,AXT= -0.54 AYT= 2.58 AZT= 2.64 GX= -7.08 GY= 0.16 GZ= 0.72 AXL= 0.04 AYL= -0.45 AZL= -8.74 GXYZ= 7.11
14:42:12,AXYZ= 0.45
14:42:12,the car stop moving
14:42:12,AXT= -0.62 AYT= 2.69 AZT= 2.76 GX= -6.85 GY= 0.21 GZ= 0.78 AXL= 0.06 AYL= -0.47 AZL= -8.74 GXYZ= 6.90
14:42:12,AXYZ= 0.47
14:42:12,the car stop moving
14:42:12,AXT= -0.95 AYT= 2.63 AZT= 2.80 GX= -6.89 GY= -0.11 GZ= 0.76 AXL= 0.11 AYL= -0.47 AZL= -8.74 GXYZ= 6.94
14:42:12,AXYZ= 0.48
14:42:12,the car stop moving
14:42:13,AXT= -0.66 AYT= 2.87 AZT= 2.95 GX= -7.07 GY= 0.02 GZ= 0.63 AXL= 0.06 AYL= -0.50 AZL= -8.73 GXYZ= 7.10
14:42:13,AXYZ= 0.51
14:42:13,the car stop moving
14:42:13,AXT= -1.05 AYT= 3.19 AZT= 3.36 GX= -6.97 GY= 0.11 GZ= 0.65 AXL= 0.12 AYL= -0.57 AZL= -8.74 GXYZ= 7.00
14:42:13,AXYZ= 0.58
14:42:13,the car stop moving
14:42:13,AXT= -0.60 AYT= 2.54 AZT= 2.61 GX= -6.93 GY= 0.10 GZ= 0.66 AXL= 0.06 AYL= -0.45 AZL= -8.74 GXYZ= 6.96
14:42:13,AXYZ= 0.45
14:42:13,the car stop moving
